time;power_cum
30,10;0,0607
39,91;0,0806
44,02;0,0890
57,94;0,1174
60,10;0,1218
69,91;0,1417
74,02;0,1501
87,94;0,1785
90,10;0,1829
99,91;0,2029
104,02;0,2113
117,94;0,2396
120,10;0,2440
129,91;0,2640
134,02;0,2724
147,94;0,3008
150,10;0,3052
159,91;0,3252
164,02;0,3336
177,94;0,3620
180,10;0,3664
189,91;0,3864
194,02;0,3948
207,94;0,4232
210,10;0,4276
219,91;0,4476
224,02;0,4559
237,94;0,4843
240,10;0,4887
249,91;0,5087
254,02;0,5171
267,94;0,5454
270,10;0,5498
279,91;0,5698
284,02;0,5782
297,94;0,6065
300,10;0,6109
309,91;0,6309
314,02;0,6393
327,94;0,6676
330,10;0,6720
339,91;0,6920
344,02;0,7004
357,94;0,7287
360,10;0,7331
369,91;0,7531
374,02;0,7615
387,94;0,7898
390,10;0,7942
399,91;0,8142
404,02;0,8226
417,94;0,8509
420,10;0,8553
429,91;0,8753
434,02;0,8837
447,94;0,9120
450,10;0,9164
459,91;0,9364
464,02;0,9448
477,94;0,9731
480,10;0,9775
489,91;0,9975
494,02;1,0059
507,94;1,0342
510,10;1,0386
519,91;1,0585
524,02;1,0669
537,94;1,0952
540,10;1,0996
549,91;1,1196
554,02;1,1279
567,94;1,1563
570,10;1,1607
579,91;1,1806
584,02;1,1890
597,94;1,2173
600,10;1,2217
609,91;1,2417
614,02;1,2501
627,94;1,2784
630,10;1,2828
639,91;1,3028
644,02;1,3111
657,94;1,3395
660,10;1,3438
669,91;1,3638
674,02;1,3722
687,94;1,4005
690,10;1,4049
699,91;1,4248
704,02;1,4332
717,94;1,4615
720,10;1,4659
729,91;1,4859
734,02;1,4942
747,94;1,5226
750,10;1,5270
759,91;1,5469
764,02;1,5553
777,94;1,5836
780,10;1,5880
789,91;1,6080
794,02;1,6164
807,94;1,6447
810,10;1,6491
819,91;1,6691
824,02;1,6775
837,94;1,7058
840,10;1,7102
849,91;1,7302
854,02;1,7386
867,94;1,7669
870,10;1,7713
879,91;1,7912
884,02;1,7996
897,94;1,8279
900,10;1,8323
909,91;1,8523
914,02;1,8607
927,94;1,8890
930,10;1,8934
939,91;1,9134
944,02;1,9217
957,94;1,9501
960,10;1,9545
969,91;1,9744
974,02;1,9828
987,94;2,0111
990,10;2,0155
999,91;2,0354
1004,02;2,0438
1017,94;2,0721
1020,10;2,0764
1029,91;2,0964
1034,02;2,1048
1047,94;2,1331
1050,10;2,1375
1059,91;2,1574
1064,02;2,1658
1077,94;2,1940
1080,10;2,1984
1089,91;2,2183
1094,02;2,2267
1107,94;2,2550
1110,10;2,2594
1119,91;2,2793
1124,02;2,2877
1137,94;2,3160
1140,10;2,3204
1149,91;2,3403
1154,02;2,3487
1167,94;2,3770
1170,10;2,3814
1179,91;2,4013
1184,02;2,4097
1197,94;2,4380
1200,10;2,4424
1209,91;2,4623
1214,02;2,4707
1227,94;2,4990
1230,10;2,5034
1239,91;2,5233
1244,02;2,5317
1257,94;2,5600
1260,10;2,5644
1269,91;2,5843
1274,02;2,5927
1287,94;2,6209
1290,10;2,6253
1299,91;2,6453
1304,02;2,6536
1317,94;2,6819
1320,10;2,6863
1329,91;2,7062
1334,02;2,7146
1347,94;2,7428
1350,10;2,7472
1359,91;2,7672
1364,02;2,7755
1377,94;2,8038
1380,10;2,8082
1389,91;2,8281
1394,02;2,8365
1407,94;2,8648
1410,10;2,8692
1419,91;2,8891
1424,02;2,8975
1437,94;2,9258
1440,10;2,9302
1449,91;2,9501
1454,02;2,9585
1467,94;2,9868
1470,10;2,9912
1479,91;3,0111
1484,02;3,0195
1497,94;3,0478
1500,10;3,0522
1509,91;3,0721
1514,02;3,0805
1527,94;3,1088
1530,10;3,1132
1539,91;3,1332
1544,02;3,1415
1557,94;3,1698
1560,10;3,1742
1569,91;3,1941
1574,02;3,2025
1587,94;3,2307
1590,10;3,2351
1599,91;3,2551
1604,02;3,2634
1617,94;3,2917
1620,10;3,2961
1629,91;3,3160
1634,02;3,3244
1647,94;3,3527
1650,10;3,3571
1659,91;3,3770
1664,02;3,3854
1677,94;3,4137
1680,10;3,4181
1689,91;3,4380
1694,02;3,4464
1707,94;3,4747
1710,10;3,4791
1719,91;3,4991
1724,02;3,5074
1737,94;3,5358
1740,10;3,5401
1749,91;3,5601
1754,02;3,5685
1767,94;3,5968
1770,10;3,6012
1779,91;3,6211
1784,02;3,6295
1797,94;3,6578
1800,10;3,6622
1809,91;3,6821
1814,02;3,6905
1827,94;3,7188
1830,10;3,7232
1839,91;3,7432
1844,02;3,7515
1857,94;3,7798
1860,10;3,7842
1869,91;3,8042
1874,02;3,8125
1887,94;3,8408
1890,10;3,8452
1899,91;3,8652
1904,02;3,8735
1917,94;3,9019
1920,10;3,9063
1929,91;3,9262
1934,02;3,9346
1947,94;3,9629
1950,10;3,9673
1959,91;3,9873
1964,02;3,9956
1977,94;4,0240
1980,10;4,0284
1989,91;4,0483
1994,02;4,0567
2007,94;4,0850
2010,10;4,0894
2019,91;4,1093
2024,02;4,1177
2037,94;4,1460
2040,10;4,1504
2049,91;4,1703
2054,02;4,1787
2067,94;4,2070
2070,10;4,2114
2079,91;4,2313
2084,02;4,2397
2097,94;4,2680
2100,10;4,2724
2109,91;4,2924
2114,02;4,3007
2127,94;4,3291
2130,10;4,3335
2139,91;4,3534
2144,02;4,3618
2157,94;4,3901
2160,10;4,3945
2169,91;4,4144
2174,02;4,4228
2187,94;4,4511
2190,10;4,4555
2199,91;4,4754
2204,02;4,4838
2217,94;4,5121
2220,10;4,5165
2229,91;4,5365
2234,02;4,5448
2247,94;4,5732
2250,10;4,5776
2259,91;4,5975
2264,02;4,6059
2277,94;4,6342
