migration_time;num_of_mig
300,10;10
600,10;8
900,10;7
1200,10;6
1800,10;10
2100,10;4
2400,10;3
2700,10;3
3000,10;3
3300,10;2
3600,10;1
4800,10;5
5100,10;4
5400,10;4
5700,10;3
6000,10;3
6600,10;3
6900,10;2
9300,10;6
9600,10;4
9900,10;3
10200,10;2
10500,10;1
10800,10;2
11100,10;2
12000,10;1
12300,10;3
12600,10;4
14100,10;1
14400,10;1
15300,10;3
15900,10;1
16500,10;1
16800,10;2
17100,10;2
17400,10;1
17700,10;2
18300,10;3
18600,10;2
20100,10;2
20400,10;2
21600,10;1
21900,10;3
22800,10;1
25500,10;3
25800,10;4
26100,10;3
26400,10;2
26700,10;3
27000,10;2
27300,10;4
27600,10;3
27900,10;2
28200,10;2
28500,10;2
31800,10;1
32100,10;1
32400,10;5
33000,10;1
33600,10;1
34200,10;1
34800,10;1
35100,10;1
35400,10;1
36000,10;1
36600,10;1
36900,10;2
37200,10;2
37500,10;1
38400,10;1
38700,10;1
39600,10;2
39900,10;1
40500,10;4
40800,10;3
41100,10;2
44400,10;3
45300,10;1
45600,10;1
45900,10;2
46200,10;2
47100,10;1
47400,10;2
47700,10;2
48000,10;2
48300,10;2
48600,10;1
49200,10;2
49500,10;1
49800,10;1
50100,10;2
50400,10;2
50700,10;1
51600,10;1
51900,10;1
52800,10;1
53100,10;1
53400,10;1
53700,10;1
54900,10;1
55200,10;1
55800,10;1
56100,10;1
56400,10;2
56700,10;2
57600,10;1
57900,10;1
58500,10;3
58800,10;4
59100,10;3
60300,10;2
60600,10;4
60900,10;3
61200,10;2
61500,10;2
61800,10;1
62400,10;1
62700,10;1
63000,10;3
63300,10;3
63600,10;3
63900,10;2
64200,10;2
64800,10;2
65100,10;1
65700,10;2
66000,10;2
68100,10;1
68400,10;3
69000,10;5
69300,10;3
69600,10;2
69900,10;3
70200,10;2
70500,10;1
71100,10;1
71400,10;1
72900,10;1
73200,10;3
73500,10;2
73800,10;1
74100,10;3
74400,10;1
74700,10;1
75000,10;2
75300,10;1
75600,10;1
75900,10;1
76500,10;3
76800,10;3
77100,10;2
77400,10;1
77700,10;1
78900,10;1
79500,10;1
79800,10;2
80100,10;2
80400,10;1
80700,10;1
81000,10;1
81300,10;2
81600,10;1
81900,10;1
83100,10;1
83400,10;1
86100,10;1
